carehomesbeds,year_location_end,forced_closure,ownership,individual_partnership,company,age,dementia,nurse,mental_health,detained,disabled,closed_complete,inadequate,requiresimprovement,good,outstanding,missing_quality
3,2011,0,For-Profit,1,0,4.9000001,0,0,1,0,0,1,,,,,1
17,2011,0,For-Profit,0,1,11.3,0,0,0,0,1,1,,,,,1
87,2011,0,For-Profit,0,1,10.266666,1,1,0,0,0,0,,,,,1
67,2011,0,For-Profit,0,1,11,0,1,0,0,0,0,,,,,1
7,2011,0,For-Profit,0,1,11.066667,0,1,1,0,0,0,,,,,1
78,2011,0,For-Profit,0,1,9.1000004,0,1,0,0,0,0,,,,,1
8,2011,0,For-Profit,0,1,3.3333333,0,0,1,0,0,1,,,,,1
12,2011,0,Third sector,0,0,5.9000001,0,0,0,0,0,1,,,,,1
4,2011,0,For-Profit,1,0,4.5333333,0,0,0,0,0,1,,,,,1
65,2011,0,For-Profit,0,1,10.566667,1,0,0,0,0,0,,,,,1
0,2011,0,For-Profit,1,0,6.4666667,0,0,0,0,0,0,,,,,1
0,2011,0,Local Authority,0,0,3.3,0,0,0,0,0,0,,,,,1
54,2011,0,For-Profit,0,1,10.566667,1,1,0,0,0,0,,,,,1
59,2011,0,For-Profit,0,1,11.2,1,1,0,0,1,0,,,,,1
51,2011,0,For-Profit,0,1,12.166667,0,1,0,0,0,0,,,,,1
0,2011,0,Third sector,0,0,3.5666666,0,0,0,0,0,1,,,,,1
22,2011,0,For-Profit,0,1,5.0666666,1,0,0,0,0,1,,,,,1
40,2011,0,Third sector,0,0,5.9333334,0,0,0,0,0,1,,,,,1
28,2011,0,For-Profit,1,0,1.8666667,1,0,0,0,0,0,,,,,1
7,2011,0,For-Profit,0,1,3.3,0,0,0,0,0,1,,,,,1
49,2011,0,For-Profit,0,1,8.3999996,0,1,0,0,1,0,,,,,1
70,2011,0,For-Profit,0,1,9.1000004,1,1,0,0,0,0,,,,,1
61,2011,0,For-Profit,0,1,.96666664,1,1,0,0,1,0,,,,,1
44,2011,0,For-Profit,0,1,12.366667,0,1,0,0,0,1,,,,,1
0,2011,0,For-Profit,1,0,16.200001,0,0,0,0,0,1,,,,,1
55,2011,0,For-Profit,1,0,9.4333334,1,0,1,0,1,0,,,,,1
3,2011,0,For-Profit,1,0,7,0,0,0,0,0,0,,,,,1
3,2011,0,Third sector,0,0,10.133333,1,0,0,0,0,1,,,,,1
45,2011,0,For-Profit,0,1,11.4,1,0,0,0,0,1,,,,,1
3,2011,0,Third sector,0,0,5.1333332,0,0,1,0,0,1,,,,,1
51,2011,0,For-Profit,0,1,11.7,1,0,0,0,1,0,,,,,1
78,2011,0,For-Profit,0,1,11.066667,1,1,0,0,1,0,,,,,1
50,2011,0,For-Profit,0,1,10.566667,0,1,0,0,1,0,,,,,1
46,2011,0,For-Profit,0,1,9.6999998,1,0,0,0,0,0,,,,,1
74,2011,0,For-Profit,0,1,12.366667,0,1,0,0,1,1,,,,,1
75,2011,0,For-Profit,0,1,9.1000004,0,1,0,0,0,0,,,,,1
3,2011,0,For-Profit,0,1,11.366667,0,0,0,0,0,0,,,,,1
75,2011,0,For-Profit,0,1,9.1000004,1,1,1,0,0,0,,,,,1
80,2011,0,For-Profit,0,1,12.366667,1,1,0,0,0,1,,,,,1
35,2011,0,For-Profit,0,1,11.166667,0,1,0,0,0,0,,,,,1
6,2011,0,Local Authority,0,0,3.3333333,0,0,0,0,0,1,,,,,1
87,2011,0,For-Profit,0,1,10.033334,1,1,0,0,0,0,,,,,1
8,2011,0,Third sector,0,0,10.066667,0,0,0,0,1,1,,,,,1
